sale_date,sale_price,description,sale_id,lot_id,comments,title,grade,seal_grade,seal_type,variant
2021-06-08,216.0,9.4 A+ SEALED NES NINTENDO 1994 USA,312123,66041,Oval SOQ R,ZODA'S REVENGE: STAR TROPICS II,9.4,A+,SEALED,False
2019-08-01,2160.0,DONKEY KONG BOX 9.0 CART 9.6 MANUAL 9.2; VARIANT: 5TH REVISION,7211,92214,"NES, Nintendo, 1986, Complete in Box",DONKEY KONG,9.2,CIB,,True
2020-07-13,432.0,7.0 B+ SEALED NES LJN 1988 USA,122028,13837,"Rev-A, Round SOQ, Early Production",TOWN & COUNTRY SURF DESIGNS: WOOD & WATER RAGE,7.0,B+,SEALED,False
2020-07-12,1320.0,7.5 B SEALED PS1 SQUARESOFT 1997 USA,7231,97179,Masterpiece Misprint,FINAL FANTASY VII,7.5,,SEALED,False
2020-11-16,288.0,9.6 B+ SEALED SATURN CAPCOM 1996 USA,122046,15862,,STREET FIGHTER ALPHA: WARRIORS' DREAMS,9.6,B+,SEALED,False
2020-09-14,89.0,8.0 A SEALED GBA THQ 2002 USA,122037,13881,,ALTERED BEAST: GUARDIAN OF THE REALMS,8.0,,SEALED,False
2019-11-22,3000.0,9.4 A++ SEALED N64 NINTENDO 1997 USA,7212,93064,Red Label,GOLDENEYE 007,007,A++,SEALED,False
2021-03-09,336.0,7.0 A SEALED NES NINTENDO 1993 ITA,312110,67032,"Italian Version, PAL",BATTLETOADS & DOUBLE DRAGON,7.0,,SEALED,False
2019-12-22,180.0,9.4 A++ SEALED NES COLOR DREAMS 1990 USA,121951,17258,US Version,SILENT ASSAULT  - INDIANA COLLECTION,9.4,A++,SEALED,False
2021-01-25,264.0,8.5 CIB GBC NINTENDO 2001 USA,122104,17966,,THE LEGEND OF ZELDA: ORACLE OF AGES,8.5,CIB,,False
2020-02-17,79.0,9.4 A SEALED PS1 GT 1997 USA,122007,16074,K-A Rating,TIGERSHARK,9.4,,SEALED,False
2020-07-20,780.0,7.0 NS GLUE SEAL COLECO CVIS 1983 USA,122029,15821,,DONKEY KONG JUNIOR,7.0,,GLUE SEAL,False
2019-12-15,180.0,7.5 A SEALED NES BANDAI 1987 USA,121950,15231,,ATHLETIC WORLD,7.5,,SEALED,False
2020-09-14,109.0,6.5 A+ SEALED 2600 ATARI 1986 USA,122037,13831,Red Box,JR. PAC-MAN,6.5,A+,SEALED,False
2021-07-13,504.0,9.6 A SEALED PS1 PSYGNOSIS 1995 USA,312128,67090,Ridged Longbox,3D LEMMINGS,9.6,,SEALED,False
2019-10-27,168.0,6.5 CIB NES NINTENDO 1985 USA,121943,17295,"Hangtab, Sixth Release",SUPER MARIO BROS.,6.5,CIB,,False
2020-07-13,150.0,8.0 A+ SEALED SNES WILLIAMS 1996 USA,122028,13855,,MS. PAC-MAN,8.0,A+,SEALED,False
2019-11-10,1080.0,9.2 A SEALED NES NINTENDO 1992 USA,121945,13244,Classic Series,THE LEGEND OF ZELDA,9.2,,SEALED,False
2021-02-22,720.0,9.8 A++ SEALED 2600 ATARI 1989 USA,122108,18031,1989 Red box,ROAD RUNNER,9.8,A++,SEALED,False
2020-12-21,132.0,7.5 A++ SEALED GEN HI TECH 1993 USA,122051,16108,,BARBIE: SUPER MODEL,7.5,A++,SEALED,False
2021-02-01,216.0,9.4 A SEALED 2600 ATARI 1987 USA,122105,12009,1987 Red box,Q*BERT,9.4,,SEALED,False
2020-07-06,528.0,9.4 A+ SEALED GBC ATLUS 1999 USA,122027,11756,,REVELATIONS: THE DEMON SLAYER,9.4,A+,SEALED,False
